EGolden_SWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
223,1.39E-21,1.76E-14,3.26E-11,3.63E-12,28.48388259,0,0.001387869,-12034.19464,0.00E+00,4.61E-14,0,2.78E-02,0.455821294,1.503107542,0.000910395,-1.031614689,0.398246398,3.000499668,-3.856695156,-3.212564841,-10.04419944,-10.30317243,-10.42401256
224,7.29E-22,1.44E-14,9.53E-12,3.12E-12,28.47314639,0,0.001387869,-12034.46353,0.00E+00,2.13E-14,0,2.77E-02,0.45569079,1.503105102,0.000909551,-1.031614718,0.398219891,3.000474651,-3.856715859,-3.212631055,-10.04688996,-10.30318763,-10.4257776
225,3.65E-22,9.34E-15,3.37E-12,2.80E-12,28.46977145,0,0.001331506,-12035.13432,0.00E+00,1.60E-14,0,2.77E-02,0.45497318,1.47743593,0.000908853,-1.031614718,0.398214855,3.000459487,-3.856749655,-3.212782916,-10.04923568,-10.30318763,-10.42714788
226,9.21E-23,8.18E-15,3.30E-12,2.37E-12,28.4668094,0,0.001324139,-12035.75082,0.00E+00,1.05E-14,0,2.76E-02,0.453978068,1.475670478,0.000907565,-1.031614799,0.398205825,3.000397357,-3.856772236,-3.212993338,-10.05193783,-10.30318763,-10.42846291
227,1.51E-24,8.16E-15,3.23E-12,1.63E-12,28.46412102,0,0.001318898,-12036.05713,0.00E+00,1.02E-14,0,2.75E-02,0.45364069,1.475670478,0.000907295,-1.031614799,0.39820213,3.000382525,-3.856774333,-3.213110215,-10.05220868,-10.30320685,-10.42848073
228,2.51E-25,7.52E-15,3.16E-12,1.06E-12,28.46090589,0,0.001318057,-12036.29213,0.00E+00,8.54E-15,0,2.73E-02,0.453303029,1.475666345,0.000901891,-1.031614799,0.39817411,3.000381405,-3.856781553,-3.213386226,-10.05220868,-10.30394026,-10.42906237
229,2.34E-25,7.16E-15,3.05E-12,1.06E-12,28.45515617,0,0.001305034,-12037.14102,0.00E+00,5.42E-15,0,2.72E-02,0.452719242,1.475666338,0.00090121,-1.031614986,0.39817411,3.00038111,-3.856781553,-3.21343477,-10.05266745,-10.3043213,-10.42978849
230,1.11E-26,3.93E-15,2.99E-12,9.77E-13,28.44930262,0,0.001305034,-12039.75228,0.00E+00,1.87E-15,0,2.71E-02,0.452062624,1.456097478,0.000900881,-1.031615366,0.398166575,3.000372281,-3.856784149,-3.21434715,-10.05277225,-10.3043213,-10.43015985
231,9.85E-27,1.20E-15,2.86E-12,3.01E-13,28.4426756,0,0.001305034,-12040.97987,0.00E+00,1.37E-15,0,2.70E-02,0.451304286,1.455537252,0.000900827,-1.031616875,0.398166575,3.000372281,-3.856786351,-3.214465393,-10.05282886,-10.30576407,-10.43124495
232,7.49E-27,7.97E-16,2.86E-12,2.70E-13,28.43927162,0,0.001305034,-12041.54053,0.00E+00,1.15E-15,0,2.69E-02,0.450637443,1.454767018,0.000899739,-1.031616875,0.398165404,3.000372281,-3.856786564,-3.214814961,-10.05312564,-10.30606925,-10.43124495
